Year,Annual Revenue (millions of USD),Gross profit (millions of USD),Expenses (millions of USD),No. of Employees,,,,
2006,2152.00,908.00,1244.00,36800,,,,
2007,3090.00,1313.00,1777.00,52700,,,,
2008,4176.00,1723.00,2453.00,72200,,,,
2009,4663.00,1964.00,2699.00,91200,,,,
2010,4804.00,2055.00,2749.00,113796,,,,
2011,6041.00,2544.00,3497.00,130820,,,,
2012,6994.00,2876.00,4118.00,149994,,,,
2013,7398.00,2761.00,4637.00,156688,,,,
2014,8249.00,2957.00,5292.00,160405,,,,
2015,8711.00,3337.00,5374.00,176187,,,,
2016,9501.00,3551.00,5950.00,194044,,,,
2017,10208.00,3762.00,6446.00,200364,,,,
2018,10939.00,3938.00,7001.00,204107,,,,
2019,11799.00,4112.00,7687.00,228123,,,,
2020,12780.00,4228.00,8552.00,242371,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
